kind,path,date,exists,readable,rows,has_ts_ms,mismatch_rows,ts_ms_mismatch_rows,min_ts,max_ts,min_ts_ms,max_ts_ms,error
tick,data/parquet/tick/MNQ/20251009.parquet,2025-10-09,True,True,1168347,True,0,0,2025-10-09 00:00:00.044000,2025-10-09 23:59:59.612000,1759968000044,1760054399612,
depth,data/parquet/depth/MNQ/20251010.parquet,2025-10-10,True,True,49446777,True,0,0,2025-10-10 00:00:00.033000,2025-10-10 21:00:00.068000,1760054400033,1760130000068,
tick,data/parquet/tick/MNQ/20251010.parquet,2025-10-10,True,True,2136825,True,0,0,2025-10-10 00:00:00.034000,2025-10-10 20:59:59.957000,1760054400034,1760129999957,
depth,data/parquet/depth/MNQ/20251011.parquet,2025-10-11,True,True,2,True,0,0,2025-10-11 05:37:01.924827,2025-10-11 07:35:58.411510,1760161021925,1760168158412,
tick,data/parquet/tick/MNQ/20251011.parquet,2025-10-11,False,,,,,,,,,,
depth,data/parquet/depth/MNQ/20251012.parquet,2025-10-12,True,True,1295411,True,0,0,2025-10-12 21:37:17.766000,2025-10-12 23:59:59.992000,1760305037766,1760313599992,
tick,data/parquet/tick/MNQ/20251012.parquet,2025-10-12,True,True,118318,True,0,0,2025-10-12 22:00:00,2025-10-12 23:59:59.951000,1760306400000,1760313599951,
depth,data/parquet/depth/MNQ/20251013.parquet,2025-10-13,True,True,36739960,True,0,0,2025-10-13 00:00:00.001000,2025-10-13 23:59:59.972000,1760313600001,1760399999972,
tick,data/parquet/tick/MNQ/20251013.parquet,2025-10-13,True,True,1652426,True,0,0,2025-10-13 00:00:00.023000,2025-10-13 23:59:59.349000,1760313600023,1760399999349,
depth,data/parquet/depth/MNQ/20251014.parquet,2025-10-14,True,True,45383793,True,0,0,2025-10-14 00:00:00.001000,2025-10-14 23:59:59.979000,1760400000001,1760486399979,
tick,data/parquet/tick/MNQ/20251014.parquet,2025-10-14,True,True,2134897,True,0,0,2025-10-14 00:00:00.012000,2025-10-14 23:59:59.949000,1760400000012,1760486399949,
depth,data/parquet/depth/MNQ/20251015.parquet,2025-10-15,True,True,40601840,True,0,0,2025-10-15 00:00:00.005000,2025-10-15 23:59:59.992000,1760486400005,1760572799992,
tick,data/parquet/tick/MNQ/20251015.parquet,2025-10-15,True,True,1888286,True,0,0,2025-10-15 00:00:00.043000,2025-10-15 23:59:59.721000,1760486400043,1760572799721,
depth,data/parquet/depth/MNQ/20251016.parquet,2025-10-16,True,True,52193753,True,0,0,2025-10-16 00:00:00,2025-10-16 23:59:59.979000,1760572800000,1760659199979,
tick,data/parquet/tick/MNQ/20251016.parquet,2025-10-16,True,True,2371085,True,0,0,2025-10-16 00:00:00.026000,2025-10-16 23:59:59.765000,1760572800026,1760659199765,
